f0,f1,f2,f3,f4,f5,f6
20190302.0,24,24,24,24,24,24
20190303.0,24,24,24,24,24,24
20190304.0,24,24,24,24,24,24
20190305.0,24,24,24,24,24,24
20190306.0,24,24,24,24,24,24
20190307.0,24,24,24,24,24,24
20190308.0,24,24,24,24,24,24
20190309.0,24,24,24,24,24,24
20190310.0,24,24,24,24,24,24
20190311.0,48,48,48,48,48,48
20190312.0,24,24,24,24,24,24
20190313.0,24,24,24,24,24,24
20190314.0,24,24,24,24,24,24
20190315.0,24,24,24,24,24,24
20190316.0,24,24,24,24,24,24
20190317.0,24,24,24,24,24,24
20190318.0,24,24,24,24,24,24
20190319.0,24,24,24,24,24,24
20190320.0,24,24,24,24,24,24
20190321.0,24,24,24,24,24,24
20190322.0,24,24,24,24,24,24
20190323.0,24,24,24,24,24,24
20190324.0,24,24,24,24,24,24
20190325.0,24,24,24,24,24,24
20190326.0,24,24,24,24,24,24
20190327.0,24,24,24,24,24,24
20190328.0,24,24,24,24,24,24
20190329.0,24,24,24,24,24,24
20190330.0,24,24,24,24,24,24
20190331.0,24,24,24,24,24,24
20190401.0,24,24,24,24,24,24
20190402.0,24,24,24,24,24,24
20190403.0,24,24,24,24,24,24
20190404.0,24,24,24,24,24,24
20190405.0,24,24,24,24,24,24
20190406.0,24,24,24,24,24,24
20190407.0,24,24,24,24,24,24
20190408.0,24,24,24,24,24,24
20190409.0,24,24,24,24,24,24
20190410.0,24,24,24,24,24,24
20190411.0,24,24,24,24,24,24
20190412.0,24,24,24,24,24,24
20190413.0,24,24,24,24,24,24
20190414.0,24,24,24,24,24,24
20190415.0,24,24,24,24,24,24
20190416.0,24,24,24,24,24,24
20190417.0,24,24,24,24,24,24
20190418.0,24,24,24,24,24,24
20190419.0,24,24,24,24,24,24
20190420.0,24,24,24,24,24,24
20190421.0,24,24,24,24,24,24
20190422.0,24,24,24,24,24,24
20190423.0,24,24,24,24,24,24
20190424.0,24,24,24,24,24,24
20190425.0,24,24,24,24,24,24
20190426.0,24,24,24,24,24,24
20190427.0,24,24,24,24,24,24
20190428.0,24,24,24,24,24,24
20190429.0,24,24,24,24,24,24
20190430.0,24,24,24,24,24,24
20190501.0,24,24,24,24,24,24
20190502.0,24,24,24,24,24,24
20190503.0,24,24,24,24,24,24
20190504.0,24,24,24,24,24,24
20190505.0,24,24,24,24,24,24
20190506.0,24,24,24,24,24,24
20190507.0,24,24,24,24,24,24
20190508.0,24,24,24,24,24,24
20190509.0,24,24,24,24,24,24
20190510.0,24,24,24,24,24,24
20190511.0,24,24,24,24,24,24
20190512.0,24,24,24,24,24,24
20190513.0,24,24,24,24,24,24
20190514.0,24,24,24,24,24,24
20190515.0,24,24,24,24,24,24
20190516.0,24,24,24,24,24,24
20190517.0,24,24,24,24,24,24
20190518.0,24,24,24,24,24,24
20190519.0,24,24,24,24,24,24
20190520.0,24,24,24,24,24,24
20190521.0,24,24,24,24,24,24
20190522.0,24,24,24,24,24,24
20190523.0,24,24,24,24,24,24
20190524.0,24,24,24,24,24,24
20190525.0,24,24,24,24,24,24
20190526.0,24,24,24,24,24,24
20190527.0,24,24,24,24,24,24
20190528.0,24,24,24,24,24,24
20190529.0,24,24,24,24,24,24
20190530.0,24,24,24,24,24,24
20190531.0,24,24,24,24,24,24
20190601.0,24,24,24,24,24,24
20190602.0,24,24,24,24,24,24
20190603.0,24,24,24,24,24,24
20190604.0,24,24,24,24,24,24
20190605.0,24,24,24,24,24,24
20190606.0,24,24,24,24,24,24
20190607.0,24,24,24,24,24,24
20190608.0,24,24,24,24,24,24
20190609.0,24,24,24,24,24,24
20190610.0,24,24,24,24,24,24
20190611.0,24,24,24,24,24,24
20190612.0,24,24,24,24,24,24
20190613.0,24,24,24,24,24,24
20190614.0,24,24,24,24,24,24
20190615.0,24,24,24,24,24,24
20190616.0,24,24,24,24,24,24
20190617.0,24,24,24,24,24,24
20190618.0,24,24,24,24,24,24
20190619.0,24,24,24,24,24,24
20190620.0,24,24,24,24,24,24
20190621.0,24,24,24,24,24,24
20190622.0,24,24,24,24,24,24
20190623.0,24,24,24,24,24,24
20190624.0,24,24,24,24,24,24
20190625.0,24,24,24,24,24,24
20190626.0,24,24,24,24,24,24
