집계구코드,행정동코드
1116069010101,11500620
1120071040005,11590605
1123074020104,11680740
1124061010008,11710580
1124063010003,11710600
1124065020601,11710620
1124068030003,11710641
1101071010008,11110710
1104054020005,11200540
1104056020001,11200560
1106073030502,11230730
1107073020403,11260655
1108078030006,11290780
1111065040103,11350630
1112071060205,11380690
1113064020015,11410640
1113066020011,11410660
1116055010008,11500590
1116069010001,11500620
1118052070106,11545610
1118053010002,11545620
1119075040001,11560585
1121078010111,11620605
1121064020019,11620645
1121068020011,11620685
1122055020901,11650540
1122055040006,11650540
1122061010011,11650590
1123058040001,11680580
1124065020501,11710620
1104057010112,11200570
1108058020204,11290580
1109073010119,11305575
1110057020403,11320710
1111065040003,11350630
1112055010002,11380551
1112058030026,11380570
1112071060105,11380690
1113071020106,11410710
1115065030102,11470630
1118052070006,11545610
1118061020011,11545710
1121078010011,11620605
1122055020801,11650540
1124051010010,11710510
1124067020008,11710632
1124075030205,11710690
1125059010804,11740590
1106073030302,11230730
1107057020005,11260570
1107059030703,11260580
1108058020104,11290580
1111059040104,11350612
1112056020010,11380552
1112071060005,11380690
1114077030301,11440565
1114066070008,11440660
1115065030002,11470630
1121080010301,11620595
1121071010110,11620715
1121073020006,11620735
1121081020014,11620775
1122051010007,11650510
1122053010003,11650530
1124067011404,11710632
1124069020004,11710642
1124080040106,11710680
1103051020015,11170510
1103053020011,11170530
1106088020005,11230660
1106073030202,11230730
1107059020001,11260580
1107059030603,11260580
1108072030007,11290725
1109064010013,11305620
1109075030002,11305660
1110057020203,11320710
1112072010005,11380530
1114078010010,11440555
1117056010207,11530560
1117061010003,11530720
1120055020002,11590550
1124057010015,11710561
1124060040005,11710570
1124067011304,11710632
1125051020114,11740515
1102073010007,11140665
1103071040011,11170555
1105064010002,11215820
1106081090106,11230536
1107064040003,11260620
1107073020003,11260655
1108085050004,11290810
1114059020103,11440590
1115053020103,11470530
1115071020213,11470550
1115066010007,11470640
1120073020007,11590630
1121058020008,11620585
1122055020501,11650540
1124065020101,11710620
1124078010105,11710720
1103063010804,11170630
1104056030102,11200560
1104057020313,11200570
1105062030409,11215870
1106087010019,11230650
1106080100001,11230705
1106073030001,11230730
1107059030402,11260580
1108081040002,11290525
1108082030013,11290555
1110057020002,11320710
1111058060104,11350611
1111069010014,11350670
1112072010037,11380530
1112067020006,11380640
1115053020002,11470530
1120071050006,11590605
1121078020212,11620605
1122052050701,11650520
1123074030105,11680740
1124061020009,11710580
1124063020004,11710600
1124066010201,11710631
1104056030006,11200560
1104058030002,11200580
1105063040202,11215810
1106089060002,11230740
1107062010003,11260610
1108063010002,11290630
1110057030508,11320710
1111058060008,11350611
1111065031002,11350630
1112074030027,11380625
1112071040503,11380690
1114075010403,11440585
1118053020007,11545620
1118058010110,11545680
1121079030402,11620565
1122063020011,11650610
1124053020101,11710531
1124054021003,11710532
1124059020103,11710566
1124060010001,11710570
1124068010201,11710641
1125067010014,11740660
1103070020004,11170700
1107064020601,11260620
1109062020501,11305606
1111058030201,11350611
1111065020301,11350630
1112055020007,11380551
1112073050002,11380600
1112071040403,11380690
1119073010101,11560515
1119062020001,11560620
1122067030016,11650652
1124053020001,11710531
1124059020003,11710566
1124064010019,11710610
1124068010101,11710641
1125059010207,11740590
1101073010008,11110650
1104054010705,11200540
1105063040002,11215810
1107064020501,11260620
1108078010104,11290780
1109071020001,11305545
1109062020401,11305606
1111051010006,11350560
1111058030101,11350611
1111065020201,11350630
1112057020013,11380560
1112066010011,11380632
1112071040303,11380690
1113068040001,11410685
1114075010203,11440585
1118052050204,11545610
1119073010001,11560515
1120071020003,11590605
1120066010015,11590650
1121079030202,11620565
1125072010014,11740570
1101055010003,11110550
1101056020021,11110560
1107059030006,11260580
1108078010004,11290780
1109074010003,11305645
1109075040007,11305660
1111058030001,11350611
1111065020101,11350630
1111065041304,11350630
1111076030004,11350665
1113074010204,11410555
1115065020802,11470630
1119075030601,11560585
1120055030007,11590550
1122054010209,11650531
1123071020002,11680690
1124060020303,11710570
1125059010007,11740590
1125074020027,11740685
1105064020007,11215820
1105061020001,11215860
1107073030008,11260655
1108085060009,11290810
1109071030403,11305545
1111065030603,11350630
1112058010024,11380570
1112071040103,11380690
1114075010003,11440585
1114072020010,11440720
1115061010008,11470600
1115065020702,11470630
1119075030501,11560585
1121079030002,11620565
1124054010002,11710532
1124079030133,11710670
1102071020122,11140635
1107064020201,11260620
1108082040019,11290555
1109062020101,11305606
1111053030310,11350580
1111059020102,11350612
1112065030012,11380631
1115053030008,11470530
1117064010015,11530750
1119073020303,11560515
1119075030401,11560585
